osmid,x,y,total_CYD,geometry
5766143333,-81.9010814,26.4123625,0.0,POINT (-81.9010814 26.4123625)
5766143334,-81.9005143,26.4120956,23.067159896964256,POINT (-81.9005143 26.4120956)
5766143335,-81.9006527,26.4120901,0.6070305236043225,POINT (-81.9006527 26.4120901)
5766143336,-81.9009868,26.4120125,1.955987242725039,POINT (-81.9009868 26.4120125)
5766143337,-81.900701,26.4122636,13.557015027163201,POINT (-81.900701 26.4122636)
5766143338,-81.9004764,26.4115828,81.00485098319903,POINT (-81.9004764 26.4115828)
5766143339,-81.9008458,26.4114962,0.0,POINT (-81.9008458 26.4114962)
5766143342,-81.8996231,26.4114607,12.6127453237787,POINT (-81.8996231 26.4114607)
5766143557,-81.8992529,26.411011,44.11088471524744,POINT (-81.8992529 26.411011)
5766143566,-81.9007375,26.4111451,490.27831956442446,POINT (-81.9007375 26.4111451)
5766143568,-81.9000714,26.4113352,42.08744963656636,POINT (-81.9000714 26.4113352)
5766143569,-81.8998898,26.4108338,25.29293848351344,POINT (-81.8998898 26.4108338)
5766143570,-81.9000465,26.4112664,118.43839993879892,POINT (-81.9000465 26.4112664)
5766143571,-81.9006725,26.4108357,1.6861958989008958,POINT (-81.9006725 26.4108357)
5766143572,-81.9007098,26.4110135,13.28722368333906,POINT (-81.9007098 26.4110135)
5766143573,-81.8999583,26.4110229,275.9290968961426,POINT (-81.8999583 26.4110229)
5766449219,-81.9012533,26.4106199,26.23720818689794,POINT (-81.9012533 26.4106199)
5766449221,-81.8991066,26.4107136,65.89653572904702,POINT (-81.8991066 26.4107136)
5766449223,-81.9003757,26.4106283,18.885394067690033,POINT (-81.9003757 26.4106283)
5766449224,-81.9009289,26.41062,0.0,POINT (-81.9009289 26.41062)
5766451157,-81.8988467,26.4102624,151.48783955725648,POINT (-81.8988467 26.4102624)
5766451159,-81.8991449,26.4100585,1.214061047208645,POINT (-81.8991449 26.4100585)
5766451160,-81.8994193,26.4104972,130.8488017547095,POINT (-81.8994193 26.4104972)
5766451161,-81.8994215,26.4106426,32.71220043867738,POINT (-81.8994215 26.4106426)
5766451162,-81.8992376,26.4102015,156.74877076182727,POINT (-81.8992376 26.4102015)
5766451166,-81.8993658,26.4101192,8.835666510240694,POINT (-81.8993658 26.4101192)
5768234068,-81.8992432,26.4097408,0.0,POINT (-81.8992432 26.4097408)
5768234071,-81.8987055,26.4089906,0.0,POINT (-81.8987055 26.4089906)
5768234072,-81.8988978,26.4090615,0.0,POINT (-81.8988978 26.4090615)
5768234073,-81.8985013,26.4093395,0.0,POINT (-81.8985013 26.4093395)
5768234074,-81.899264,26.4095183,6.947127103471691,POINT (-81.899264 26.4095183)
5768234075,-81.8988806,26.4097953,0.0,POINT (-81.8988806 26.4097953)
5768234076,-81.8991681,26.4095876,0.6070305236043225,POINT (-81.8991681 26.4095876)
5768234080,-81.898713,26.4091911,0.0,POINT (-81.898713 26.4091911)
5768234124,-81.8987194,26.4096016,0.0,POINT (-81.8987194 26.4096016)
5768540101,-81.898538,26.4088793,0.0,POINT (-81.898538 26.4088793)
5768540102,-81.8982047,26.4091062,15.2432109260641,POINT (-81.8982047 26.4091062)
5768540103,-81.8978623,26.408755,43.30151068377501,POINT (-81.8978623 26.408755)
5768540105,-81.8980517,26.4092449,0.0,POINT (-81.8980517 26.4092449)
5768796994,-81.8978671,26.4083788,1.3489567191207166,POINT (-81.8978671 26.4083788)
5768796997,-81.8976525,26.4081336,0.0,POINT (-81.8976525 26.4081336)
5768796998,-81.8976342,26.4083411,0.0,POINT (-81.8976342 26.4083411)
5768796999,-81.897413,26.4084995,1.955987242725039,POINT (-81.897413 26.4084995)
5768797047,-81.8976619,26.4078123,0.2697913438241433,POINT (-81.8976619 26.4078123)
5768797050,-81.8972088,26.407332,0.0,POINT (-81.8972088 26.407332)
5768797052,-81.8969941,26.4077515,0.0,POINT (-81.8969941 26.4077515)
5768797054,-81.8971495,26.4079271,0.0,POINT (-81.8971495 26.4079271)
5768797088,-81.8970641,26.4078306,0.0,POINT (-81.8970641 26.4078306)
5768797089,-81.8969222,26.4079288,0.0,POINT (-81.8969222 26.4079288)
5768797104,-81.8971155,26.4072123,0.33723917978017914,POINT (-81.8971155 26.4072123)
5768797106,-81.8965967,26.4069632,616.0010857864753,POINT (-81.8965967 26.4069632)
5768797107,-81.8966957,26.4070831,0.0,POINT (-81.8966957 26.4070831)
5768797109,-81.8965239,26.4073263,28.8002259532273,POINT (-81.8965239 26.4073263)
5768797111,-81.8968125,26.4072247,0.33723917978017914,POINT (-81.8968125 26.4072247)
5768797112,-81.8964487,26.4073783,11.533579948482128,POINT (-81.8964487 26.4073783)
5768797207,-81.8954568,26.4058995,3.979422321406114,POINT (-81.8954568 26.4058995)
5768797214,-81.8951597,26.4062061,0.0,POINT (-81.8951597 26.4062061)
5768797217,-81.8952476,26.4056557,4.519005009054401,POINT (-81.8952476 26.4056557)
5768797223,-81.8950051,26.4060987,0.0,POINT (-81.8950051 26.4060987)
5770662455,-81.8948585,26.4052666,79.85823777194643,POINT (-81.8948585 26.4052666)
5770662458,-81.894207,26.4048595,45.59473710628022,POINT (-81.894207 26.4048595)
5770662459,-81.8944454,26.4054938,0.0,POINT (-81.8944454 26.4054938)
5770662460,-81.8943212,26.4056627,5.867961728175118,POINT (-81.8943212 26.4056627)
5770662461,-81.8941197,26.4053112,46.26921546584058,POINT (-81.8941197 26.4053112)
5770662462,-81.8939955,26.4054857,27.316373562194514,POINT (-81.8939955 26.4054857)
5770662465,-81.8944498,26.4054962,8.0937403147243,POINT (-81.8944498 26.4054962)
5770662549,-81.893406,26.4052067,1.4838523910327883,POINT (-81.893406 26.4052067)
5770662550,-81.8937695,26.4048937,566.4269263587889,POINT (-81.8937695 26.4048937)
5770662551,-81.8936029,26.4051118,554.8258985743507,POINT (-81.8936029 26.4051118)
5770662552,-81.8934674,26.405058,26.43955169476605,POINT (-81.8934674 26.405058)
5770662561,-81.8931949,26.4051177,3.3049439618457557,POINT (-81.8931949 26.4051177)
5770662564,-81.8934324,26.4045961,19.42497675533832,POINT (-81.8934324 26.4045961)
5770662574,-81.8930987,26.4050792,3.102600453977648,POINT (-81.8930987 26.4050792)
5770662575,-81.8931744,26.4048186,0.0,POINT (-81.8931744 26.4048186)
5770662576,-81.8929159,26.4048272,0.0,POINT (-81.8929159 26.4048272)
5770662577,-81.8928484,26.4049851,0.0,POINT (-81.8928484 26.4049851)
5770662582,-81.8925834,26.4048968,3.23749612588972,POINT (-81.8925834 26.4048968)
5770662583,-81.8926989,26.4049353,2.2257785865491826,POINT (-81.8926989 26.4049353)
5770662598,-81.8925328,26.4047144,25.427834155425508,POINT (-81.8925328 26.4047144)
5770662608,-81.892252,26.4046393,2.9677047820655766,POINT (-81.892252 26.4046393)
5770662609,-81.8922011,26.4047793,72.30408014487041,POINT (-81.8922011 26.4047793)
5770662617,-81.8917464,26.4045134,0.0,POINT (-81.8917464 26.4045134)
5770662618,-81.8917083,26.4046563,65.62674438522286,POINT (-81.8917083 26.4046563)
5770662622,-81.8916655,26.4044572,0.5395826876482867,POINT (-81.8916655 26.4044572)
5770662623,-81.8916221,26.4046383,27.788508413886763,POINT (-81.8916221 26.4046383)
5770662624,-81.891547,26.4044364,146.36180402459777,POINT (-81.891547 26.4044364)
5770662625,-81.8915085,26.4046145,10.656758081053662,POINT (-81.8915085 26.4046145)
5770662630,-81.8912833,26.4045744,16.861958989008958,POINT (-81.8912833 26.4045744)
5770662631,-81.8913871,26.4045916,4.316661501186293,POINT (-81.8913871 26.4045916)
5770662655,-81.8894534,26.4044337,8.970562182152765,POINT (-81.8894534 26.4044337)
5770662656,-81.8895919,26.4044312,14.164045550767526,POINT (-81.8895919 26.4044312)
5770662663,-81.8890021,26.4044393,11.33123644061402,POINT (-81.8890021 26.4044393)
5770662664,-81.8891334,26.4044377,26.641895202634153,POINT (-81.8891334 26.4044377)
5770662673,-81.8888796,26.4041823,17.266646004745173,POINT (-81.8888796 26.4041823)
5770662674,-81.888888,26.4044407,12.005714800174378,POINT (-81.888888 26.4044407)
5770662675,-81.8887434,26.4042561,5.598170384350974,POINT (-81.8887434 26.4042561)
5770662676,-81.888882,26.4042557,5.126035532658723,POINT (-81.888882 26.4042557)
5770662677,-81.8886279,26.4044439,23.876533928436686,POINT (-81.8886279 26.4044439)
5770662680,-81.8885045,26.4044454,27.65361274197469,POINT (-81.8885045 26.4044454)
5770662683,-81.8901668,26.4044457,35.74735305669899,POINT (-81.8901668 26.4044457)
5770662684,-81.8902751,26.4044528,4.85624418883458,POINT (-81.8902751 26.4044528)
5770662685,-81.8904502,26.4043303,48.360098380477694,POINT (-81.8904502 26.4043303)
5770662686,-81.8904382,26.4044669,5.733066056263046,POINT (-81.8904382 26.4044669)
5770662687,-81.8907182,26.4044919,10.319518901273483,POINT (-81.8907182 26.4044919)
5770662691,-81.8905963,26.4044806,6.812231431559619,POINT (-81.8905963 26.4044806)
5770662692,-81.8911644,26.4045548,0.06744783595603583,POINT (-81.8911644 26.4045548)
5770662695,-81.8910527,26.4045377,33.589022306105846,POINT (-81.8910527 26.4045377)
5770662696,-81.8898214,26.404434,24.213773108216863,POINT (-81.8898214 26.404434)
5770662699,-81.8897131,26.4044327,29.542152148743696,POINT (-81.8897131 26.4044327)
5770662708,-81.8876192,26.4044562,0.0,POINT (-81.8876192 26.4044562)
5770662710,-81.8875004,26.4042514,0.0,POINT (-81.8875004 26.4042514)
5771293186,-81.8872362,26.4041267,0.0,POINT (-81.8872362 26.4041267)
5771293187,-81.8872456,26.4044654,0.0,POINT (-81.8872456 26.4044654)
5771293188,-81.8869215,26.4041356,89.97541316535181,POINT (-81.8869215 26.4041356)
5771293189,-81.8869518,26.4044951,4.85624418883458,POINT (-81.8869518 26.4044951)
5771293248,-81.8839625,26.4044755,0.0,POINT (-81.8839625 26.4044755)
5781896148,-81.9231909,26.4380354,4.316661501186293,POINT (-81.9231909 26.4380354)
5781896275,-81.9230447,26.4379304,51.12545965467516,POINT (-81.9230447 26.4379304)
5783014101,-81.9208051,26.4363305,3.7096309775819707,POINT (-81.9208051 26.4363305)
5784212568,-81.9155695,26.4323826,714.7447176261118,POINT (-81.9155695 26.4323826)
5784212569,-81.9158997,26.4320692,287.53012468058074,POINT (-81.9158997 26.4320692)
5784212570,-81.9161489,26.432627,46.20176762988454,POINT (-81.9161489 26.432627)
5784212571,-81.9160052,26.4327557,3.6421831416259347,POINT (-81.9160052 26.4327557)
5784212577,-81.9160491,26.4325691,1019.4065926395256,POINT (-81.9160491 26.4325691)
5784212578,-81.9159261,26.432688,70.34809290214537,POINT (-81.9159261 26.432688)
5784212617,-81.9149523,26.431854,407.2500335025444,POINT (-81.9149523 26.431854)
5784212618,-81.9154325,26.4314248,111.22148149150308,POINT (-81.9154325 26.4314248)
5784803018,-81.9127197,26.4296466,288.5418422199213,POINT (-81.9127197 26.4296466)
5784803019,-81.9125656,26.4297892,196.54299397588844,POINT (-81.9125656 26.4297892)
5784803030,-81.912513,26.4297256,57.87024325027875,POINT (-81.912513 26.4297256)
5784803031,-81.9126183,26.429657,0.5395826876482867,POINT (-81.9126183 26.429657)
5784803032,-81.9124021,26.4295861,64.007996322278,POINT (-81.9124021 26.4295861)
5784803033,-81.9125564,26.4294835,24.41611661608497,POINT (-81.9125564 26.4294835)
5784803556,-81.912588,26.4296767,0.80937403147243,POINT (-81.912588 26.4296767)
5784803557,-81.9124834,26.4295321,1.0791653752965733,POINT (-81.9124834 26.4295321)
5784803682,-81.9112317,26.4280387,68.18976215155223,POINT (-81.9112317 26.4280387)
5784803684,-81.9110634,26.4281996,531.4214994976063,POINT (-81.9110634 26.4281996)
5787253593,-81.9106763,26.4275227,6.744783595603583,POINT (-81.9106763 26.4275227)
5787253595,-81.9104313,26.4275968,4.316661501186293,POINT (-81.9104313 26.4275968)
5787253620,-81.9102085,26.4270555,91.93140040807684,POINT (-81.9102085 26.4270555)
5787253621,-81.9100253,26.4272084,0.9442697033845017,POINT (-81.9100253 26.4272084)
5787254818,-81.9097392,26.4269348,39.79422321406114,POINT (-81.9097392 26.4269348)
5787254821,-81.9096238,26.4268244,13.084880175470952,POINT (-81.9096238 26.4268244)
5787531652,-81.9092827,26.4261706,1.955987242725039,POINT (-81.9092827 26.4261706)
5787532253,-81.9091053,26.4263235,8.026292478768264,POINT (-81.9091053 26.4263235)
5787532260,-81.9089386,26.4258951,0.9442697033845017,POINT (-81.9089386 26.4258951)
5787532261,-81.908788,26.4260149,0.0,POINT (-81.908788 26.4260149)
5787532264,-81.9086766,26.4259065,10.319518901273483,POINT (-81.9086766 26.4259065)
5787532267,-81.9085759,26.4258171,305.2689055370182,POINT (-81.9085759 26.4258171)
5787532319,-81.9085175,26.4253441,131.52328011426988,POINT (-81.9085175 26.4253441)
5787532321,-81.9082384,26.4255969,66.16632707287116,POINT (-81.9082384 26.4255969)
5787532323,-81.9083489,26.4254696,348.5029683848372,POINT (-81.9083489 26.4254696)
5787532325,-81.9084312,26.4254083,221.97082813131394,POINT (-81.9084312 26.4254083)
5787669196,-81.9075729,26.4253283,19.96455944298661,POINT (-81.9075729 26.4253283)
5787669198,-81.9074072,26.4251756,111.8285120151074,POINT (-81.9074072 26.4251756)
5787669199,-81.907538,26.4253304,15.310658762020134,POINT (-81.907538 26.4253304)
5787669200,-81.9075391,26.4254563,4.519005009054401,POINT (-81.9075391 26.4254563)
