Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
749860-22314-62194,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/10/2022,Vegetation,26.6569213,-82.1444417,11/10/2022,Pine Island DMS,53,
749731-22308-52863,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/4/2022,Vegetation,26.6771836,-81.8700874,11/4/2022,Civic Center DMS,41,
749732-22305-30578,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/1/2022,Vegetation,26.6799094,-81.8725907,11/1/2022,Paige Field Airport DMS,39,
749732-22307-64456,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.6768742,-81.8704841,11/4/2022,Civic Center DMS,39,
749859-22317-52838,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/13/2022,Vegetation,26.7496798,-81.8553326,11/13/2022,Civic Center DMS,44,
749862-22311-46486,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/7/2022,Vegetation,26.6313965,-82.0360627,11/8/2022,Pine Island DMS,52,
749863-22312-35330,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/8/2022,Vegetation,26.6272822,-82.0357314,11/8/2022,Pine Island DMS,53,
749863-22313-29153,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/9/2022,Vegetation,26.6310646,-82.0360975,11/9/2022,Pine Island DMS,64,
749859-22317-56493,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/13/2022,Vegetation,26.7495822,-81.8551372,11/13/2022,Civic Center DMS,49,
749859-22319-35101,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/15/2022,Vegetation,26.7521335,-81.8568838,11/15/2022,Civic Center DMS,47,
749828-22310-34124,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/6/2022,C and D,26.5180781,-82.190327,11/6/2022,Wulfert Rd DMS,48,
749846-22312-26254,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/8/2022,Vegetation,26.6763385,-81.8857132,11/8/2022,Paige Field Airport DMS,51,
749865-22317-46284,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/13/2022,Vegetation,26.7445929,-81.8960212,11/13/2022,Paige Field Airport DMS,53,
749866-22318-58833,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/14/2022,Vegetation,26.7420391,-81.8867505,11/14/2022,Paige Field Airport DMS,40,
749867-22307-58593,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.6258424,-82.0381996,11/3/2022,Pine Island DMS,50,
